threshold,true_positives,false_positives,false_negatives,true_negatives,precision,recall,fraud_dollars_captured,fraud_dollars_missed,review_cost,decision_cost
0.14392964824120602,64,25,15,45465,0.7191011235955056,0.810126582278481,6627.54,1610.7199999999998,125.0,1735.7199999999998
0.14643718592964824,64,25,15,45465,0.7191011235955056,0.810126582278481,6627.54,1610.7199999999998,125.0,1735.7199999999998
0.14894472361809044,63,24,16,45466,0.7241379310344828,0.7974683544303798,6626.540000000001,1611.7199999999998,120.0,1731.7199999999998
0.15145226130653267,63,24,16,45466,0.7241379310344828,0.7974683544303798,6626.540000000001,1611.7199999999998,120.0,1731.7199999999998
0.15395979899497486,63,24,16,45466,0.7241379310344828,0.7974683544303798,6626.540000000001,1611.7199999999998,120.0,1731.7199999999998
0.15646733668341709,63,24,16,45466,0.7241379310344828,0.7974683544303798,6626.540000000001,1611.7199999999998,120.0,1731.7199999999998
0.15897487437185928,63,24,16,45466,0.7241379310344828,0.7974683544303798,6626.540000000001,1611.7199999999998,120.0,1731.7199999999998
0.1614824120603015,63,24,16,45466,0.7241379310344828,0.7974683544303798,6626.540000000001,1611.7199999999998,120.0,1731.7199999999998
0.16398994974874373,63,24,16,45466,0.7241379310344828,0.7974683544303798,6626.540000000001,1611.7199999999998,120.0,1731.7199999999998
0.16649748743718593,63,23,16,45467,0.7325581395348837,0.7974683544303798,6626.540000000001,1611.7199999999998,115.0,1726.7199999999998
0.16900502512562815,63,23,16,45467,0.7325581395348837,0.7974683544303798,6626.540000000001,1611.7199999999998,115.0,1726.7199999999998
0.17151256281407035,63,22,16,45468,0.7411764705882353,0.7974683544303798,6626.540000000001,1611.7199999999998,110.0,1721.7199999999998
0.17402010050251257,63,22,16,45468,0.7411764705882353,0.7974683544303798,6626.540000000001,1611.7199999999998,110.0,1721.7199999999998
0.17652763819095477,63,21,16,45469,0.75,0.7974683544303798,6626.540000000001,1611.7199999999998,105.0,1716.7199999999998
0.179035175879397,63,20,16,45470,0.7590361445783133,0.7974683544303798,6626.540000000001,1611.7199999999998,100.0,1711.7199999999998
0.1815427135678392,63,20,16,45470,0.7590361445783133,0.7974683544303798,6626.540000000001,1611.7199999999998,100.0,1711.7199999999998
0.1840502512562814,63,19,16,45471,0.7682926829268293,0.7974683544303798,6626.540000000001,1611.7199999999998,95.0,1706.7199999999998
0.1865577889447236,63,19,16,45471,0.7682926829268293,0.7974683544303798,6626.540000000001,1611.7199999999998,95.0,1706.7199999999998
0.18906532663316583,63,18,16,45472,0.7777777777777778,0.7974683544303798,6626.540000000001,1611.7199999999998,90.0,1701.7199999999998
0.19157286432160803,63,18,16,45472,0.7777777777777778,0.7974683544303798,6626.540000000001,1611.7199999999998,90.0,1701.7199999999998
0.19408040201005025,63,18,16,45472,0.7777777777777778,0.7974683544303798,6626.540000000001,1611.7199999999998,90.0,1701.7199999999998
0.19658793969849245,63,18,16,45472,0.7777777777777778,0.7974683544303798,6626.540000000001,1611.7199999999998,90.0,1701.7199999999998
0.19909547738693467,63,17,16,45473,0.7875,0.7974683544303798,6626.540000000001,1611.7199999999998,85.0,1696.7199999999998
0.20160301507537687,63,17,16,45473,0.7875,0.7974683544303798,6626.540000000001,1611.7199999999998,85.0,1696.7199999999998
0.2041105527638191,63,17,16,45473,0.7875,0.7974683544303798,6626.540000000001,1611.7199999999998,85.0,1696.7199999999998
0.20661809045226132,63,17,16,45473,0.7875,0.7974683544303798,6626.540000000001,1611.7199999999998,85.0,1696.7199999999998
0.2091256281407035,63,17,16,45473,0.7875,0.7974683544303798,6626.540000000001,1611.7199999999998,85.0,1696.7199999999998
0.21163316582914574,63,16,16,45474,0.7974683544303798,0.7974683544303798,6626.540000000001,1611.7199999999998,80.0,1691.7199999999998
0.21414070351758793,62,16,17,45474,0.7948717948717948,0.7848101265822784,6625.540000000001,1612.72,80.0,1692.72
0.21664824120603016,62,16,17,45474,0.7948717948717948,0.7848101265822784,6625.540000000001,1612.72,80.0,1692.72
0.21915577889447235,62,16,17,45474,0.7948717948717948,0.7848101265822784,6625.540000000001,1612.72,80.0,1692.72
0.22166331658291458,62,16,17,45474,0.7948717948717948,0.7848101265822784,6625.540000000001,1612.72,80.0,1692.72
0.22417085427135677,62,15,17,45475,0.8051948051948052,0.7848101265822784,6625.540000000001,1612.72,75.0,1687.72
0.226678391959799,62,15,17,45475,0.8051948051948052,0.7848101265822784,6625.540000000001,1612.72,75.0,1687.72
0.2291859296482412,62,15,17,45475,0.8051948051948052,0.7848101265822784,6625.540000000001,1612.72,75.0,1687.72
0.23169346733668342,62,15,17,45475,0.8051948051948052,0.7848101265822784,6625.540000000001,1612.72,75.0,1687.72
0.2342010050251256,62,14,17,45476,0.8157894736842105,0.7848101265822784,6625.540000000001,1612.72,70.0,1682.72
0.23670854271356784,62,14,17,45476,0.8157894736842105,0.7848101265822784,6625.540000000001,1612.72,70.0,1682.72
